"Site","WS","gseason","WD","n"
"Boulder Creek","(3,6]","Winter","60",1126
"Boulder Creek","(3,6]","Winter","90",684
"Boulder Creek","(3,6]","Winter","120",381
"Boulder Creek","(3,6]","Winter","150",284
"Boulder Creek","(3,6]","Winter","180",138
"Boulder Creek","(3,6]","Winter","210",103
"Boulder Creek","(3,6]","Winter","240",134
"Boulder Creek","(3,6]","Winter","270",165
"Boulder Creek","(3,6]","Winter","300",58
"Boulder Creek","(3,6]","Winter","330",30
"Boulder Creek","(-Inf,3]","Summer","0",2321
"Boulder Creek","(-Inf,3]","Summer","30",4183
"Boulder Creek","(-Inf,3]","Summer","60",4561
"Boulder Creek","(-Inf,3]","Summer","90",3835
"Boulder Creek","(-Inf,3]","Summer","120",4742
"Boulder Creek","(-Inf,3]","Summer","150",3672
"Boulder Creek","(-Inf,3]","Summer","180",3312
"Boulder Creek","(-Inf,3]","Summer","210",3218
"Boulder Creek","(-Inf,3]","Summer","240",3147
"Boulder Creek","(-Inf,3]","Summer","270",3517
"Boulder Creek","(-Inf,3]","Summer","300",3261
"Boulder Creek","(-Inf,3]","Summer","330",2710
"Boulder Creek","(-Inf,3]","Winter","0",2217
"Boulder Creek","(-Inf,3]","Winter","30",6308
"Boulder Creek","(-Inf,3]","Winter","60",9872
"Boulder Creek","(-Inf,3]","Winter","90",8712
"Boulder Creek","(-Inf,3]","Winter","120",10812
"Boulder Creek","(-Inf,3]","Winter","150",9181
"Boulder Creek","(-Inf,3]","Winter","180",4183
"Boulder Creek","(-Inf,3]","Winter","210",2613
"Boulder Creek","(-Inf,3]","Winter","240",2153
"Boulder Creek","(-Inf,3]","Winter","270",1901
"Boulder Creek","(-Inf,3]","Winter","300",1646
"Boulder Creek","(-Inf,3]","Winter","330",1388
"Bowron Pit","(9, Inf]","Summer","0",17
"Bowron Pit","(9, Inf]","Summer","30",33
"Bowron Pit","(9, Inf]","Summer","60",9
"Bowron Pit","(9, Inf]","Summer","90",3
"Bowron Pit","(9, Inf]","Summer","120",11
"Bowron Pit","(9, Inf]","Summer","150",16
"Bowron Pit","(9, Inf]","Summer","180",1
"Bowron Pit","(9, Inf]","Winter","0",70
"Bowron Pit","(9, Inf]","Winter","30",65
"Bowron Pit","(9, Inf]","Winter","60",17
"Bowron Pit","(9, Inf]","Winter","120",110
"Bowron Pit","(9, Inf]","Winter","150",371
"Bowron Pit","(9, Inf]","Winter","180",68
"Bowron Pit","(9, Inf]","Winter","210",7
"Bowron Pit","(9, Inf]","Winter","300",1
"Bowron Pit","(9, Inf]","Winter","330",4
"Bowron Pit","(6,9]","Summer","0",27
"Bowron Pit","(6,9]","Summer","30",41
"Bowron Pit","(6,9]","Summer","60",11
"Bowron Pit","(6,9]","Summer","90",2
"Bowron Pit","(6,9]","Summer","120",17
"Bowron Pit","(6,9]","Summer","150",40
"Bowron Pit","(6,9]","Summer","180",7
"Bowron Pit","(6,9]","Summer","330",3
"Bowron Pit","(6,9]","Winter","0",89
"Bowron Pit","(6,9]","Winter","30",36
"Bowron Pit","(6,9]","Winter","60",28
"Bowron Pit","(6,9]","Winter","90",4
"Bowron Pit","(6,9]","Winter","120",95
"Bowron Pit","(6,9]","Winter","150",348
"Bowron Pit","(6,9]","Winter","180",78
"Bowron Pit","(6,9]","Winter","210",1
"Bowron Pit","(6,9]","Winter","300",3
"Bowron Pit","(6,9]","Winter","330",15
"Bowron Pit","(3,6]","Summer","0",250
"Bowron Pit","(3,6]","Summer","30",171
"Bowron Pit","(3,6]","Summer","60",101
"Bowron Pit","(3,6]","Summer","90",73
"Bowron Pit","(3,6]","Summer","120",272
"Bowron Pit","(3,6]","Summer","150",372
"Bowron Pit","(3,6]","Summer","180",97
"Bowron Pit","(3,6]","Summer","210",22
"Bowron Pit","(3,6]","Summer","240",6
"Bowron Pit","(3,6]","Summer","270",3
"Bowron Pit","(3,6]","Summer","300",12
"Bowron Pit","(3,6]","Summer","330",75
"Bowron Pit","(3,6]","Winter","0",385
"Bowron Pit","(3,6]","Winter","30",101
"Bowron Pit","(3,6]","Winter","60",96
"Bowron Pit","(3,6]","Winter","90",70
"Bowron Pit","(3,6]","Winter","120",514
"Bowron Pit","(3,6]","Winter","150",1264
"Bowron Pit","(3,6]","Winter","180",435
"Bowron Pit","(3,6]","Winter","210",54
"Bowron Pit","(3,6]","Winter","240",32
"Bowron Pit","(3,6]","Winter","270",16
"Bowron Pit","(3,6]","Winter","300",44
"Bowron Pit","(3,6]","Winter","330",285
"Bowron Pit","(-Inf,3]","Summer","0",3093
"Bowron Pit","(-Inf,3]","Summer","30",1679
"Bowron Pit","(-Inf,3]","Summer","60",997
"Bowron Pit","(-Inf,3]","Summer","90",1471
"Bowron Pit","(-Inf,3]","Summer","120",3263
"Bowron Pit","(-Inf,3]","Summer","150",3918
"Bowron Pit","(-Inf,3]","Summer","180",1844
"Bowron Pit","(-Inf,3]","Summer","210",947
"Bowron Pit","(-Inf,3]","Summer","240",709
"Bowron Pit","(-Inf,3]","Summer","270",660
"Bowron Pit","(-Inf,3]","Summer","300",915
"Bowron Pit","(-Inf,3]","Summer","330",1500
"Bowron Pit","(-Inf,3]","Winter","0",2706
"Bowron Pit","(-Inf,3]","Winter","30",1230
"Bowron Pit","(-Inf,3]","Winter","60",1039
"Bowron Pit","(-Inf,3]","Winter","90",1475
"Bowron Pit","(-Inf,3]","Winter","120",3254
"Bowron Pit","(-Inf,3]","Winter","150",5400
"Bowron Pit","(-Inf,3]","Winter","180",3277
"Bowron Pit","(-Inf,3]","Winter","210",1523
"Bowron Pit","(-Inf,3]","Winter","240",908
"Bowron Pit","(-Inf,3]","Winter","270",1146
"Bowron Pit","(-Inf,3]","Winter","300",2511
"Bowron Pit","(-Inf,3]","Winter","330",3703
"Bulkley","(6,9]","Summer","0",9
"Bulkley","(6,9]","Summer","60",1
"Bulkley","(6,9]","Summer","120",3
"Bulkley","(6,9]","Summer","150",2
"Bulkley","(6,9]","Summer","270",2
"Bulkley","(6,9]","Summer","300",3
"Bulkley","(6,9]","Summer","330",37
"Bulkley","(6,9]","Winter","0",32
"Bulkley","(6,9]","Winter","30",3
"Bulkley","(6,9]","Winter","120",44
"Bulkley","(6,9]","Winter","150",889
"Bulkley","(6,9]","Winter","180",37
"Bulkley","(6,9]","Winter","210",2
"Bulkley","(6,9]","Winter","240",7
"Bulkley","(6,9]","Winter","270",8
"Bulkley","(6,9]","Winter","300",12
"Bulkley","(6,9]","Winter","330",138
"Bulkley","(3,6]","Summer","0",382
"Bulkley","(3,6]","Summer","30",105
"Bulkley","(3,6]","Summer","60",45
"Bulkley","(3,6]","Summer","90",186
"Bulkley","(3,6]","Summer","120",504
"Bulkley","(3,6]","Summer","150",483
"Bulkley","(3,6]","Summer","180",61
"Bulkley","(3,6]","Summer","210",166
"Bulkley","(3,6]","Summer","240",222
"Bulkley","(3,6]","Summer","270",288
"Bulkley","(3,6]","Summer","300",534
"Bulkley","(3,6]","Summer","330",911
"Bulkley","(3,6]","Winter","0",235
"Bulkley","(3,6]","Winter","30",45
"Bulkley","(3,6]","Winter","60",34
"Bulkley","(3,6]","Winter","90",167
"Bulkley","(3,6]","Winter","120",2321
"Bulkley","(3,6]","Winter","150",5991
"Bulkley","(3,6]","Winter","180",462
"Bulkley","(3,6]","Winter","210",183
"Bulkley","(3,6]","Winter","240",250
"Bulkley","(3,6]","Winter","270",243
"Bulkley","(3,6]","Winter","300",983
"Bulkley","(3,6]","Winter","330",1448
"Bulkley","(-Inf,3]","Summer","0",4558
"Bulkley","(-Inf,3]","Summer","30",3515
"Bulkley","(-Inf,3]","Summer","60",5142
"Bulkley","(-Inf,3]","Summer","90",5300
"Bulkley","(-Inf,3]","Summer","120",6797
"Bulkley","(-Inf,3]","Summer","150",4170
"Bulkley","(-Inf,3]","Summer","180",3199
"Bulkley","(-Inf,3]","Summer","210",3692
"Bulkley","(-Inf,3]","Summer","240",3857
"Bulkley","(-Inf,3]","Summer","270",6419
"Bulkley","(-Inf,3]","Summer","300",8723
"Bulkley","(-Inf,3]","Summer","330",7441
"Bulkley","(-Inf,3]","Winter","0",4914
"Bulkley","(-Inf,3]","Winter","30",2729
"Bulkley","(-Inf,3]","Winter","60",3470
"Bulkley","(-Inf,3]","Winter","90",4409
"Bulkley","(-Inf,3]","Winter","120",8900
"Bulkley","(-Inf,3]","Winter","150",8939
"Bulkley","(-Inf,3]","Winter","180",4004
"Bulkley","(-Inf,3]","Winter","210",3555
"Bulkley","(-Inf,3]","Winter","240",3432
"Bulkley","(-Inf,3]","Winter","270",5421
"Bulkley","(-Inf,3]","Winter","300",11695
"Bulkley","(-Inf,3]","Winter","330",12296
"Canoe","(9, Inf]","Summer","0",2169
"Canoe","(9, Inf]","Summer","30",2316
"Canoe","(9, Inf]","Summer","60",1046
"Canoe","(9, Inf]","Summer","90",510
"Canoe","(9, Inf]","Summer","120",1291
"Canoe","(9, Inf]","Summer","150",9852
"Canoe","(9, Inf]","Summer","180",8120
"Canoe","(9, Inf]","Summer","210",2400
"Canoe","(9, Inf]","Summer","240",1162
"Canoe","(9, Inf]","Summer","270",399
"Canoe","(9, Inf]","Summer","300",219
"Canoe","(9, Inf]","Summer","330",444
"Canoe","(9, Inf]","Winter","0",1897
