"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Central Plateau Finlay","Apr","obs_na",60,0,0,60,60,63,63,60,60,0,60,540,540,540,540,90,540
"Central Plateau Finlay","May","mean",10.82,Inf,-Inf,1.39,944.76,69.12,3.74,3.84,355.08,-Inf,129.66,NA,NA,NA,NA,28.04,NA
"Central Plateau Finlay","May","max",19.76,Inf,31.08,19.8,960.35,100,12.57,91.65,89.68,6.68,349.73,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","May","min",2.13,-5.31,-Inf,0,926.93,21.25,-20.8,0,270.14,-Inf,15.04,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","May","obs_na",27,0,0,34,27,30,30,27,27,0,27,558,558,558,558,58,558
"Central Plateau Finlay","Jun","mean",13.79,6.93,20.83,1.95,944.3,71.77,7.67,4.55,354.52,3.13,152.02,NA,NA,NA,NA,29.92,NA
"Central Plateau Finlay","Jun","max",27.3,17.11,38.59,36.01,956.51,100,18.33,104.26,89.2,7.61,356.45,-Inf,-Inf,-Inf,-Inf,98.43,-Inf
"Central Plateau Finlay","Jun","min",5.98,-0.28,7.89,0,926.79,41.3,-1.72,0,275.99,0.37,32.38,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Jun","obs_na",0,0,0,43,7,0,0,0,0,0,0,540,540,540,540,24,540
"Central Plateau Finlay","Jul","mean",16.14,9.37,23.62,1.96,946.31,75.01,10.66,3.49,354.04,2.77,138.71,NA,NA,NA,NA,33.86,NA
"Central Plateau Finlay","Jul","max",23.47,15.82,35.08,37.2,958.1,100,15.98,87.13,88.85,7.42,328.01,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Jul","min",9.21,1.17,10.12,0,934.83,41.98,1.49,0,271.41,0.19,25.92,Inf,Inf,Inf,Inf,0.2,Inf
"Central Plateau Finlay","Jul","obs_na",0,0,0,54,31,0,0,0,0,0,0,558,558,558,558,23,558
"Central Plateau Finlay","Aug","mean",15.25,8.78,23.09,1.39,945.68,77,10.33,2.59,355.03,2.75,101.95,NA,NA,NA,NA,35.72,NA
"Central Plateau Finlay","Aug","max",22.41,17.53,34.73,35.8,958.19,99.42,17.35,62.65,87.21,6.86,296.03,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Aug","min",7.57,2.03,9.82,0,929.96,48.85,2.53,0,277.4,0.19,21.71,Inf,Inf,Inf,Inf,0.27,Inf
"Central Plateau Finlay","Aug","obs_na",0,0,0,22,31,0,0,0,0,0,0,580,580,580,580,22,580
"Central Plateau Finlay","Sep","mean",10.4,4.99,17.33,1.48,945.43,83.47,7.17,1.63,351.37,2.87,65.97,NA,NA,NA,NA,47.57,NA
"Central Plateau Finlay","Sep","max",20.6,12,30.31,21.2,964.05,100,14.38,47.39,89.96,8.72,239.77,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Sep","min",0.9,-4.96,6.1,0,919.28,40.79,-5.08,0,271.54,0,13.63,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Sep","obs_na",0,0,0,0,30,0,0,0,0,0,0,570,570,570,570,30,570
"Central Plateau Finlay","Oct","mean",4.55,0.06,9.55,1.45,944.78,83.56,1.51,1.37,351.04,3.27,39.44,NA,NA,NA,NA,40.57,NA
"Central Plateau Finlay","Oct","max",16.91,12.17,24.79,21.8,964.75,100,11.07,31.55,89.85,10.95,255.27,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Oct","min",-12.77,-18.05,-8.38,0,920.62,26.88,-21.55,0,270.02,0.19,5.4,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Oct","obs_na",0,0,0,0,31,2,2,0,0,0,0,587,587,587,587,31,587
"Central Plateau Finlay","Nov","mean",-1.36,-4.59,1.67,1.46,943.75,86.46,-3.63,0.72,343.3,-Inf,23.49,NA,NA,NA,NA,35.1,NA
"Central Plateau Finlay","Nov","max",14.18,10.03,18.75,37.4,972.05,100,6.95,16.85,89.85,10.39,296.44,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Nov","min",-27.13,-31.55,-21.67,0,917.85,28.06,-29.01,0,271.6,-Inf,0.82,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Nov","obs_na",0,0,0,0,18,0,0,13,0,0,0,540,540,540,540,30,540
"Central Plateau Finlay","Dec","mean",-6.62,-10.16,-3.61,0.84,944.71,86.61,-8.62,0.49,348.81,2.65,16.68,NA,NA,NA,NA,23.07,NA
"Central Plateau Finlay","Dec","max",7.99,5.4,11.83,41.4,977.55,100,3.41,7.38,88.98,9.83,295.94,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Dec","min",-37.8,-41.62,-32.67,0,916.35,20.02,-40.71,0,270.67,0,0.71,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Dec","obs_na",0,0,0,0,0,3,3,0,0,0,0,558,558,558,558,31,558
"Chapman","Jan","mean",-8.49,-13.05,-4.33,0.87,917.15,93.46,-9.37,0.02,7.08,1.73,13.19,0.2,0.21,0.26,1.21,NA,NA
"Chapman","Jan","max",2.74,-0.14,8.77,15,936.86,99.91,2.06,0.29,88.66,9.06,34.73,0.29,0.32,0.39,4.89,-Inf,-Inf
"Chapman","Jan","min",-36.55,-41.16,-27.71,0,897.54,75.78,-38.91,0,273.95,0,1.23,0.09,0.08,0.11,-1.96,Inf,Inf
"Chapman","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,6,124,124
"Chapman","Feb","mean",-9.08,-15.66,-2.08,1.08,916.07,84.05,-11.44,0.07,13.84,3.64,44.91,0.23,0.22,0.29,1.82,NA,NA
"Chapman","Feb","max",4.25,1.56,8.3,19,938.79,99.85,2.16,0.84,89.75,11.58,91.24,0.5,0.32,0.5,5.96,-Inf,-Inf
"Chapman","Feb","min",-30.71,-39.01,-18.79,0,896.05,62.65,-33.42,0,270.19,0,7.12,0.11,0.09,0.15,-0.48,Inf,Inf
"Chapman","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,113,113
"Chapman","Mar","mean",-2.93,-10.03,4.42,0.52,913.3,75.47,-7.28,0.12,6.1,4.64,115.34,0.26,0.26,0.33,2.3,NA,NA
"Chapman","Mar","max",4.9,1.26,15.46,11.4,932.31,97.03,2.28,0.67,89.74,9.56,209.99,0.53,0.39,0.51,8.18,-Inf,-Inf
"Chapman","Mar","min",-20.81,-33.22,-14.71,0,896.38,57.88,-24.38,0,271,1.51,28.95,0.18,0.12,0.18,0.06,Inf,Inf
"Chapman","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,124,124
"Chapman","Apr","mean",1.2,-5.62,8.06,0.98,915.39,69.89,-4.53,0.25,359.47,5.71,173.69,0.5,0.43,0.48,3.44,NA,NA
"Chapman","Apr","max",7.66,2.56,20.06,13.6,934.14,96.28,1.58,1.34,89.96,10.57,270.88,0.59,0.57,0.53,9.79,-Inf,-Inf
"Chapman","Apr","min",-7.65,-17.55,-2.8,0,891.85,42.52,-18.39,0,271.66,3.02,51.81,0.24,0.18,0.21,0.33,Inf,Inf
"Chapman","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,120,120
"Chapman","May","mean",7.55,-0.68,14.8,0.75,916.11,66.74,0.78,0.29,12.9,5.79,212.38,0.47,0.45,0.49,9.95,NA,NA
"Chapman","May","max",17.05,7.92,30.14,12.2,930.82,91.3,6.99,0.9,89.25,10.57,341.82,0.59,0.56,0.54,16.51,-Inf,-Inf
"Chapman","May","min",2.14,-6.36,5.62,0,901.98,46.45,-4.93,0,270.38,2.52,80.3,0.24,0.24,0.28,2.94,Inf,Inf
"Chapman","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,29,29,7,124,124
"Chapman","Jun","mean",11.78,2.64,19.17,1.29,917.4,66.62,4.65,0.28,7.36,5.57,237.16,0.29,0.29,0.36,13.25,NA,NA
"Chapman","Jun","max",18.76,11.73,31.2,14.8,927.96,94.8,12.27,1.13,88.56,8.56,369.58,0.52,0.45,0.53,18.5,-Inf,-Inf
"Chapman","Jun","min",5.11,-5.3,9.44,0,898.34,41.41,-1.7,0,270.19,3.02,55.72,0.15,0.1,0.15,8.61,Inf,Inf
"Chapman","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,120,120
"Chapman","Jul","mean",14.36,5.05,22.38,1.51,919.62,70.81,8.13,0.21,18.96,5.28,230.91,0.21,0.21,0.26,13.01,NA,NA
"Chapman","Jul","max",20.22,13.06,32.1,34.8,927.14,95.96,12.7,0.88,89.97,9.56,356.65,0.53,0.55,0.52,16.23,-Inf,-Inf
"Chapman","Jul","min",8.96,-1.73,13.91,0,910.26,46.89,2.13,0,270.48,2.52,66.4,0.08,0.06,0.09,10.92,Inf,Inf
"Chapman","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,147,147
"Chapman","Aug","mean",13.64,4.28,22.65,1.12,919.43,72.29,7.7,0.15,10.59,4.91,199.41,0.13,0.12,0.18,12.78,NA,NA
"Chapman","Aug","max",19.9,13.88,30.95,18.2,929.08,96.59,12.64,0.78,89.8,10.07,322.12,0.29,0.23,0.28,15.98,-Inf,-Inf
"Chapman","Aug","min",4.02,-3.3,10.22,0,906.79,54.71,2.25,0,270.32,2.01,39.73,0.05,0.06,0.11,10.95,Inf,Inf
"Chapman","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,155
"Chapman","Sep","mean",8.38,0.69,16.74,1.5,916.34,80.2,4.53,0.09,8.04,4.45,125.54,0.13,0.13,0.18,10.1,NA,NA
"Chapman","Sep","max",16.03,9.66,31.82,21.8,929.25,98.02,10.65,0.54,89.39,8.56,224.68,0.29,0.39,0.47,14.95,-Inf,-Inf
"Chapman","Sep","min",-0.56,-5.26,1.89,0,899.2,55.7,-1.51,0,270.32,2.01,18.28,0.05,0.05,0.12,3.51,Inf,Inf
"Chapman","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,143,143
"Chapman","Oct","mean",1.93,-3.45,8.07,1.53,915.21,87.64,-0.13,0.04,357.13,3.8,59.68,0.19,0.24,0.3,5.15,NA,NA
"Chapman","Oct","max",11.17,8.17,21.44,20.4,932.39,99.76,8.69,0.67,88.97,9.06,133.11,0.33,0.41,0.47,9.51,-Inf,-Inf
"Chapman","Oct","min",-11.18,-20.17,-5.3,0,892.7,63.86,-14.29,0,270.02,1.01,5.4,0.08,0.09,0.19,-0.47,Inf,Inf
"Chapman","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,27,31,0,124,124
"Chapman","Nov","mean",-4.66,-8.76,-1.12,1.54,914.15,94.52,-5.44,0.02,357.44,3.01,19.4,0.25,0.25,0.35,1.61,NA,NA
"Chapman","Nov","max",5.21,2.53,10.05,20.2,943.37,100,4.52,0.42,89.04,11.07,42.96,0.57,0.4,0.49,3.77,-Inf,-Inf
"Chapman","Nov","min",-21.14,-28.15,-15.83,0,894.27,72.57,-23.6,0,270.19,0,3.21,0.16,0.17,0.21,-2.3,Inf,Inf
"Chapman","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,120,120
"Chapman","Dec","mean",-11.39,-16.15,-7.43,0.36,913.59,93.35,-12.23,0,0.55,0.9,7.19,0.22,0.22,0.31,1.36,NA,NA
"Chapman","Dec","max",1.45,-0.03,5.51,9.6,946.75,100,1.43,0.1,89.63,7.55,32.17,0.32,0.33,0.48,4.02,-Inf,-Inf
"Chapman","Dec","min",-38.86,-42.81,-31.19,0,887.28,76.59,-41.46,0,270.24,0,1.23,0.08,0.07,0.1,-2.23,Inf,Inf
"Chapman","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,124,124
"Chief Lake","Jan","mean",-7.5,-12.56,-3.37,1.28,927.42,91.74,-8.64,0.07,0.24,2.84,14.88,0.23,NA,NA,3.48,43.9,NA
"Chief Lake","Jan","max",6.88,2.58,10.52,20.8,948.83,100,4.54,1.95,88.02,12.08,43,0.44,-Inf,-Inf,3.9,100,-Inf
"Chief Lake","Jan","min",-35.83,-43.3,-27.46,0,901.87,64.18,-38.46,0,270.33,0,1.96,0.04,Inf,Inf,3.18,0,Inf
"Chief Lake","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,186,186,155,0,186
"Chief Lake","Feb","mean",-7.49,-13.82,-1.83,0.97,927.62,83.59,-9.97,0.07,357.99,3.22,36.55,0.23,NA,NA,2.99,24.98,NA
"Chief Lake","Feb","max",4.07,1.86,8.59,20,950.05,99.9,2.8,1.11,87.17,10.07,92.79,0.42,-Inf,-Inf,3.22,100,-Inf
"Chief Lake","Feb","min",-27.31,-38.41,-22.02,0,906.5,54.18,-30.32,0,271.24,0,6.5,0.06,Inf,Inf,2.82,0.15,Inf
"Chief Lake","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,170,170,142,0,170
"Chief Lake","Mar","mean",-2.09,-8.88,4.66,0.79,924.85,72.08,-7.07,0.14,350.33,4.04,97.74,0.26,NA,NA,2.88,21.35,NA
"Chief Lake","Mar","max",6.76,4.79,17.72,13,943.83,98.77,2.68,1.97,89.77,10.57,199.42,0.52,-Inf,-Inf,2.94,82.62,-Inf
"Chief Lake","Mar","min",-20.57,-32.14,-12.09,0,909.12,44.14,-25.03,0,270.28,0,15.93,0.12,Inf,Inf,2.84,0.91,Inf
"Chief Lake","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,186,186,155,0,186
"Chief Lake","Apr","mean",2.73,-4.98,10.21,0.84,927.39,65.19,-4.19,0.1,5.67,3.93,166.44,0.35,NA,NA,3.48,23.13,NA
"Chief Lake","Apr","max",12.29,6.2,23.62,11.4,944.74,97.87,8.81,1.28,88.79,9.06,279.89,0.52,-Inf,-Inf,5.98,100,-Inf
"Chief Lake","Apr","min",-12.16,-25.33,-3.15,0,901.44,33.98,-20.03,0,270.5,0,42.07,0.13,Inf,Inf,2.83,1.03,Inf
"Chief Lake","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,1,180,180,150,0,180
"Chief Lake","May","mean",9.43,1.05,17.23,1.77,926.93,69.47,2.92,0.06,359.95,3.5,195.44,0.27,NA,NA,8.99,36.81,NA
"Chief Lake","May","max",20.23,8.17,32.38,19.8,942.2,99.09,11.31,1.07,89.38,8.56,328.58,0.44,-Inf,-Inf,11.93,100,-Inf
"Chief Lake","May","min",3.29,-6.64,4.32,0,912.34,38.2,-5.68,0,272.78,0,25.2,0.15,Inf,Inf,6.51,1.1,Inf
"Chief Lake","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,186,186,155,0,186
"Chief Lake","Jun","mean",13.27,4.34,21.29,1.87,926.88,69.91,6.8,0.04,3.08,3.4,225.35,0.25,NA,NA,12.03,37.13,NA
"Chief Lake","Jun","max",26.57,14.96,38.28,17.4,938.18,92.09,16.13,0.44,87.11,8.56,347.49,0.42,-Inf,-Inf,13.78,81.54,-Inf
"Chief Lake","Jun","min",6.94,-3.99,10.12,0,909.2,44.04,-1.35,0,270.91,0,63.28,0.12,Inf,Inf,10.23,0.88,Inf
"Chief Lake","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,180,180,126,0,180
"Chief Lake","Jul","mean",15.48,6.91,23.62,2.06,928.76,74.41,10.02,0.02,4.56,2.97,209.53,0.24,NA,NA,14.81,39.94,NA
"Chief Lake","Jul","max",23.05,13.83,35.34,23.2,935.84,97.97,14.3,0.38,89.6,8.56,330.93,0.39,-Inf,-Inf,16.38,82.5,-Inf
"Chief Lake","Jul","min",9.11,-0.14,12.1,0,917.16,51.29,3.88,0,271.14,0,53.68,0.12,Inf,Inf,13.06,3.21,Inf
"Chief Lake","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,212,212,150,0,212
"Chief Lake","Aug","mean",14.38,5.69,23.1,1.24,928.83,75.27,9.17,0.02,359.7,2.07,169.31,0.22,NA,NA,14.92,42.74,NA
"Chief Lake","Aug","max",20.62,14.86,33.16,32.2,939.72,97.92,15.83,0.44,89.21,9.06,283.11,0.42,-Inf,-Inf,15.89,92.06,-Inf
"Chief Lake","Aug","min",6.44,-1.99,12.82,0,917.97,51.44,3.29,0,270.37,0,46.87,0.11,Inf,Inf,13.7,3.28,Inf
"Chief Lake","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,217,217,155,0,217
"Chief Lake","Sep","mean",9.91,2.31,18.08,1.52,927.51,80.86,6.16,0.02,355.3,2.07,108.83,0.21,NA,NA,13.46,51.72,NA
"Chief Lake","Sep","max",18.52,11.32,29.41,17.6,946.52,99.31,12.12,0.94,89.31,9.56,208.11,0.39,-Inf,-Inf,14.86,96.52,-Inf
"Chief Lake","Sep","min",0.25,-9.3,6.66,0,911.27,55.75,-5.89,0,270.78,0,27.59,0.11,Inf,Inf,10.3,2.45,Inf
"Chief Lake","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,195,195,150,0,195
"Chief Lake","Oct","mean",2.73,-2.97,8.64,1.84,927.75,85.82,0.28,0.03,357.5,2.35,47.86,0.26,NA,NA,8.21,50.19,NA
"Chief Lake","Oct","max",14.72,8.17,22.78,23.4,946.98,100,9.69,0.73,89.85,10.57,128.06,0.49,-Inf,-Inf,10.48,100,-Inf
"Chief Lake","Oct","min",-10.65,-18.56,-4.38,0,903.48,55.39,-15.34,0,270.25,0,8.16,0.1,Inf,Inf,5.63,1.76,Inf
"Chief Lake","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,186,186,155,0,186
"Chief Lake","Nov","mean",-3.17,-6.96,0.07,1.56,926.52,91.68,-4.41,0.06,348.12,2.85,16.78,0.27,NA,NA,4.64,50.05,NA
"Chief Lake","Nov","max",8.46,5.64,10.69,19.8,953.9,100,5.13,1.43,89.56,9.06,50.19,0.47,-Inf,-Inf,5.59,100,-Inf
"Chief Lake","Nov","min",-20,-28.99,-17.86,0,904.46,57.25,-24.31,0,270.5,0,0.87,0.06,Inf,Inf,4.19,1.3,Inf
"Chief Lake","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,1,180,180,150,0,180
"Chief Lake","Dec","mean",-7.5,-11.72,-4.16,0.97,925.59,92.44,-8.54,0.04,358.98,2.38,9.01,0.22,NA,NA,4.13,46.2,NA
"Chief Lake","Dec","max",4.12,1.72,7.27,35,958.42,100,2.08,1.01,89.16,8.56,32.85,0.44,-Inf,-Inf,4.27,100,-Inf
"Chief Lake","Dec","min",-36.49,-43.3,-26.91,0,899.19,63.25,-39.57,0,270.74,0,1.13,0,Inf,Inf,3.91,0,Inf
"Chief Lake","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,1,186,186,155,0,186
"Coalmine","Jan","mean",-4.7,-8.07,-1.63,1.43,916.78,89.17,-6.27,0,332.19,2.86,6.57,0.09,NA,NA,0.54,NA,NA
"Coalmine","Jan","max",6.73,4.38,11.93,26.6,937.39,100,4.09,0.15,76.7,7.05,17.23,0.14,-Inf,-Inf,0.95,-Inf,-Inf
"Coalmine","Jan","min",-36.94,-41.39,-29.45,0,892.55,62.99,-39.67,0,272.84,0,0.76,0.04,Inf,Inf,0.31,Inf,Inf
"Coalmine","Jan","obs_na",0,0,0,0,0,0,0,0,31,0,0,70,235,235,204,235,235
"Coalmine","Feb","mean",-7.73,-12.43,-3.06,1.05,917.85,85.93,-9.78,0,345.23,2.31,15.27,0.08,NA,NA,-0.02,NA,NA
"Coalmine","Feb","max",5.78,2.77,8.3,23,937.9,98,2.92,0.08,89.72,7.05,53.1,0.13,-Inf,-Inf,0.35,-Inf,-Inf
"Coalmine","Feb","min",-30.94,-38.61,-21.77,0,896.02,56.84,-33.45,0,276.05,0,1.75,0.03,Inf,Inf,-0.31,Inf,Inf
"Coalmine","Feb","obs_na",0,0,0,0,0,0,0,0,28,0,0,63,214,214,186,214,214
"Coalmine","Mar","mean",-1.26,-6.3,4.54,1.09,916.07,75.98,-5.45,0,352.95,2.99,42.23,0.11,NA,NA,0.22,NA,NA
"Coalmine","Mar","max",8.17,2.82,18.79,19.2,933.6,98.22,2.2,0.06,89.28,7.05,91.45,0.15,-Inf,-Inf,0.29,-Inf,-Inf
"Coalmine","Mar","min",-21.41,-32.07,-11.65,0,900,48.58,-26.75,0,271.96,0,0.79,0.06,Inf,Inf,0.11,Inf,Inf
"Coalmine","Mar","obs_na",0,0,0,0,0,0,0,0,31,0,6,71,235,235,204,235,235
"Coalmine","Apr","mean",2.93,-2.77,9.08,1.23,917.69,68.6,-3.12,0,1.53,3.32,60.88,0.12,NA,NA,2.87,NA,NA
"Coalmine","Apr","max",14.82,6.18,24.87,14.6,934.38,97.11,7.58,0.06,89.23,7.55,97.7,0.14,-Inf,-Inf,4.94,-Inf,-Inf
"Coalmine","Apr","min",-10.95,-19.52,-4.56,0,891.91,38.3,-17.3,0,270.62,1.01,18.69,0.1,Inf,Inf,0.28,Inf,Inf
"Coalmine","Apr","obs_na",0,0,0,0,0,0,0,0,30,0,30,72,230,230,200,230,230
"Coalmine","May","mean",9.56,2.91,16.12,2,917.63,70.66,3.47,0,352.69,2.92,69.72,0.11,NA,NA,7.46,NA,NA
"Coalmine","May","max",20.99,11.42,30.62,28.2,933.45,97.77,10.37,0.04,88.63,6.04,148.03,0.14,-Inf,-Inf,10.82,-Inf,-Inf
"Coalmine","May","min",1.86,-5.02,4.14,0,903.51,40.98,-4.78,0,272.19,1.01,27.5,0.06,Inf,Inf,5.44,Inf,Inf
"Coalmine","May","obs_na",0,0,0,0,0,0,0,0,31,0,30,69,229,229,198,229,229
"Coalmine","Jun","mean",12.76,6.53,19.14,2.07,918,73.01,7.18,0,355.56,2.8,77.78,0.11,NA,NA,11.03,NA,NA
"Coalmine","Jun","max",29.73,21.15,39.8,17.6,929.36,96.85,16.81,0.02,88.96,6.04,136.14,0.14,-Inf,-Inf,13.04,-Inf,-Inf
"Coalmine","Jun","min",6.29,-2.48,8.29,0,901.04,41.17,-0.42,0,270.42,0.5,22.65,0.04,Inf,Inf,8.61,Inf,Inf
"Coalmine","Jun","obs_na",0,0,0,0,0,0,0,0,10,0,0,55,229,229,199,229,229
"Coalmine","Jul","mean",15.42,9.24,21.83,2.77,919.96,76.13,10.46,0,2.54,2.4,72.39,0.1,NA,NA,13.31,NA,NA
"Coalmine","Jul","max",24.42,16.44,36.2,33.2,927.22,98.87,15.02,0,87.98,5.03,139.73,0.15,-Inf,-Inf,15.8,-Inf,-Inf
"Coalmine","Jul","min",9.43,1.29,10.49,0,907.84,44.67,5.84,0,272.29,0.5,13.69,0.03,Inf,Inf,12.25,Inf,Inf
"Coalmine","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,239,239,208,239,239
"Coalmine","Aug","mean",14.68,Inf,-Inf,1.87,919.79,77.52,10.19,0,355.85,-Inf,60.96,0.09,NA,NA,14.04,NA,NA
"Coalmine","Aug","max",23,Inf,33.68,27.6,931.08,97.5,16.22,0,86.99,5.54,123.33,0.14,-Inf,-Inf,15.35,-Inf,-Inf
"Coalmine","Aug","min",6.63,0.58,-Inf,0,908.88,47.61,4.08,0,275.4,-Inf,12.32,0.02,Inf,Inf,12.28,Inf,Inf
"Coalmine","Aug","obs_na",2,0,0,2,2,2,2,2,2,0,2,2,242,242,211,242,242
"Coalmine","Sep","mean",10.33,Inf,-Inf,1.9,918.81,81.55,6.89,0,344.69,-Inf,43.88,0.09,NA,NA,11.44,NA,NA
"Coalmine","Sep","max",19.88,Inf,30.22,31,936.06,98.48,12.36,0.04,86.52,7.55,86.08,0.14,-Inf,-Inf,15.38,-Inf,-Inf
"Coalmine","Sep","min",0.03,-5.79,-Inf,0,902.88,52.02,-5.16,0,274.75,-Inf,12.01,0.02,Inf,Inf,8.02,Inf,Inf
"Coalmine","Sep","obs_na",13,0,0,13,13,13,13,13,13,0,13,34,232,232,209,232,232
"Coalmine","Oct","mean",3.69,-0.09,8.25,1.91,918.64,86.5,1.42,0,340.02,3.04,26.01,0.1,NA,NA,6.03,NA,NA
"Coalmine","Oct","max",16.44,11.98,22.39,22.4,935.8,99.98,11.38,0.1,89.25,7.05,62.33,0.15,-Inf,-Inf,8.88,-Inf,-Inf
"Coalmine","Oct","min",-13.09,-19.15,-5.88,0,894.88,51,-15.37,0,273.49,0,4,0.02,Inf,Inf,3.39,Inf,Inf
"Coalmine","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,46,233,233,202,233,233
"Coalmine","Nov","mean",-1.63,-4.34,1.04,2.11,916.57,91.36,-2.91,0,336.89,3.04,7.54,0.11,NA,NA,2.45,NA,NA
"Coalmine","Nov","max",8.98,6.31,12.24,25.4,942.86,100,5.08,0.04,88.5,7.05,25.71,0.14,-Inf,-Inf,4.8,-Inf,-Inf
"Coalmine","Nov","min",-18.84,-25.9,-14.08,0,894.58,70.6,-20.78,0,273.28,0,0.6,0.01,Inf,Inf,1.15,Inf,Inf
"Coalmine","Nov","obs_na",0,0,0,0,0,0,0,0,10,0,0,67,230,230,200,230,230
"Coalmine","Dec","mean",-5.48,-8.66,-2.76,1.37,914.92,90.93,-6.77,0,334.65,2.54,4.1,0.09,NA,NA,1.15,NA,NA
"Coalmine","Dec","max",4.31,1.83,8.17,30,945.91,100,2.49,0.12,89.94,7.05,14.98,0.14,-Inf,-Inf,1.45,-Inf,-Inf
"Coalmine","Dec","min",-37.86,-41.27,-31.84,0,878.32,68.16,-40.83,0,270.12,0,0.76,0.01,Inf,Inf,0.85,Inf,Inf
"Coalmine","Dec","obs_na",0,0,0,0,0,0,0,0,31,0,0,70,236,236,205,236,236
"Crooked Lake","Jan","mean",-22.25,-27.1,-18.37,0.26,935.49,86.82,-19.26,0.08,354.14,1.18,9.99,NA,NA,NA,NA,NA,NA
"Crooked Lake","Jan","max",-2.56,-6.96,6.39,8,965.29,97.3,40.89,1.17,81.13,6.54,28,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crooked Lake","Jan","min",-42.75,-46.41,-37.39,0,915.44,77.68,-41.83,0,270.03,0,2.59,Inf,Inf,Inf,Inf,Inf,Inf
"Crooked Lake","Jan","obs_na",0,0,0,0,1,0,0,0,0,0,0,31,31,31,31,31,31
"Crooked Lake","Feb","mean",-13.3,-20.13,-6.17,0.29,932.67,80.13,-16.29,0.28,11.06,-Inf,46.75,NA,NA,NA,NA,NA,NA
"Crooked Lake","Feb","max",-0.16,-4.58,7.36,5.6,949.3,92.2,-6.1,2.03,85.7,11.58,89.93,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crooked Lake","Feb","min",-29.03,-39.41,-18.04,0,916.82,55.67,-33.39,0,275.05,-Inf,9.57,Inf,Inf,Inf,Inf,Inf,Inf
"Crooked Lake","Feb","obs_na",0,0,0,3,3,0,0,3,3,0,3,32,32,32,32,32,32
"Crooked Lake","Mar","mean",-7.31,-15.14,1.03,0.12,931.69,66.13,-13.23,0.63,4.62,-Inf,131.34,NA,NA,NA,NA,NA,NA
"Crooked Lake","Mar","max",3.12,-2.12,11.3,4.2,945.96,87.36,-1.91,2.43,88.56,16.61,194.36,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crooked Lake","Mar","min",-26.59,-38.46,-20.46,0,914.71,50.39,-31.99,0.02,276.15,-Inf,66.19,Inf,Inf,Inf,Inf,Inf,Inf
