"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Cassiar Mt","Winter (Oct-Apr)","mean",-9.27,-11.81,-6.49,0.27,829.57,84.66,-11.54,0.5,358.04,5.74,66.9,NA,NA,NA,NA,NA,NA
"Cassiar Mt","Winter (Oct-Apr)","max",7.59,4.61,11.05,21.2,848.91,99.7,3.02,7.11,88.79,28.57,276.5,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","Winter (Oct-Apr)","min",-29.89,-32.91,-27.83,0,803.25,37.35,-32.21,0,271.13,0,4.57,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,424,424,424,424,424,424
"Central Plateau Finlay","Summer (May-Sep)","mean",13.3,Inf,-Inf,1.62,945.3,75.41,7.98,3.2,353.99,-Inf,116.98,NA,NA,NA,NA,35.18,NA
"Central Plateau Finlay","Summer (May-Sep)","max",27.3,Inf,38.59,37.2,964.05,100,18.33,104.26,89.96,8.72,356.45,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Summer (May-Sep)","min",0.9,-5.31,-Inf,0,919.28,21.25,-20.8,0,270.14,-Inf,13.63,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Summer (May-Sep)","obs_na",27,0,0,153,126,30,30,27,27,0,27,2806,2806,2806,2806,157,2806
"Central Plateau Finlay","Winter (Oct-Apr)","mean",-1.69,Inf,-Inf,1.08,944.57,81.32,-5.05,1.3,349.09,-Inf,40.2,NA,NA,NA,NA,28.07,NA
"Central Plateau Finlay","Winter (Oct-Apr)","max",17.15,Inf,26.09,41.4,977.55,100,11.07,70.56,89.89,11.69,312.26,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Central Plateau Finlay","Winter (Oct-Apr)","min",-37.8,-42.08,-Inf,0,908.36,20.02,-41.21,0,270.02,-Inf,0.71,Inf,Inf,Inf,Inf,0,Inf
"Central Plateau Finlay","Winter (Oct-Apr)","obs_na",90,0,0,90,139,109,109,103,90,0,90,3850,3850,3850,3850,303,3850
"Chapman","Summer (May-Sep)","mean",11.28,2.52,19.35,1.24,917.88,71.63,5.36,0.2,11.7,5.17,199.71,0.24,0.22,0.28,11.76,NA,NA
"Chapman","Summer (May-Sep)","max",20.22,13.88,32.1,34.8,930.82,98.02,12.7,1.13,89.97,10.57,369.58,0.59,0.56,0.54,18.5,-Inf,-Inf
"Chapman","Summer (May-Sep)","min",-0.56,-6.36,1.89,0,898.34,41.41,-4.93,0,270.19,2.01,18.28,0.05,0.05,0.09,2.94,Inf,Inf
"Chapman","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,29,43,58,689,689
"Chapman","Winter (Oct-Apr)","mean",-4.75,-10.35,0.81,0.98,914.96,85.53,-7.17,0.08,2.99,3.33,61.81,0.26,0.26,0.33,2.43,NA,NA
"Chapman","Winter (Oct-Apr)","max",11.17,8.17,21.44,20.4,946.75,100,8.69,1.34,89.96,11.58,270.88,0.59,0.57,0.53,9.79,-Inf,-Inf
"Chapman","Winter (Oct-Apr)","min",-38.86,-42.81,-31.19,0,887.28,42.52,-41.46,0,270.02,0,1.23,0.08,0.07,0.1,-2.3,Inf,Inf
"Chapman","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,209,213,6,849,849
"Chief Lake","Summer (May-Sep)","mean",12.6,4.17,20.79,1.69,927.84,74.12,7.15,0.03,0.54,2.77,181.11,0.24,NA,NA,13.3,41.78,NA
"Chief Lake","Summer (May-Sep)","max",26.57,14.96,38.28,32.2,946.52,99.31,16.13,1.07,89.6,9.56,347.49,0.44,-Inf,-Inf,16.38,100,-Inf
"Chief Lake","Summer (May-Sep)","min",0.25,-9.3,4.32,0,909.2,38.2,-5.89,0,270.37,0,25.2,0.11,Inf,Inf,6.51,0.88,Inf
"Chief Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,990,990,736,0,990
"Chief Lake","Winter (Oct-Apr)","mean",-3.16,-8.8,2.05,1.18,926.72,83.26,-6.04,0.07,356.97,3.08,55.51,0.26,NA,NA,4.28,37.27,NA
"Chief Lake","Winter (Oct-Apr)","max",14.72,8.17,23.62,35,958.42,100,9.69,1.97,89.85,12.08,279.89,0.52,-Inf,-Inf,10.48,100,-Inf
"Chief Lake","Winter (Oct-Apr)","min",-36.49,-43.3,-27.46,0,899.19,33.98,-39.57,0,270.25,0,0.87,0,Inf,Inf,2.82,0,Inf
"Chief Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,3,1274,1274,1062,0,1274
"Coalmine","Summer (May-Sep)","mean",12.61,Inf,-Inf,2.13,918.86,75.74,7.69,0,354.48,-Inf,65.03,0.1,NA,NA,11.46,NA,NA
"Coalmine","Summer (May-Sep)","max",29.73,Inf,39.8,33.2,936.06,98.87,16.81,0.04,88.96,7.55,148.03,0.15,-Inf,-Inf,15.8,-Inf,-Inf
"Coalmine","Summer (May-Sep)","min",0.03,-5.79,-Inf,0,901.04,40.98,-5.16,0,270.42,-Inf,12.01,0.02,Inf,Inf,5.44,Inf,Inf
"Coalmine","Summer (May-Sep)","obs_na",15,0,0,15,15,15,15,15,56,0,45,160,1171,1171,1025,1171,1171
"Coalmine","Winter (Oct-Apr)","mean",-1.97,-6.03,2.25,1.46,916.92,84.07,-4.65,0,343.14,2.88,22.46,0.1,NA,NA,1.91,NA,NA
"Coalmine","Winter (Oct-Apr)","max",16.44,11.98,24.87,30,945.91,100,11.38,0.15,89.94,7.55,97.7,0.15,-Inf,-Inf,8.88,-Inf,-Inf
"Coalmine","Winter (Oct-Apr)","min",-37.86,-41.39,-31.84,0,878.32,38.3,-40.83,0,270.12,0,0.6,0.01,Inf,Inf,-0.31,Inf,Inf
"Coalmine","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,161,0,36,459,1613,1613,1401,1613,1613
"Crooked Lake","Summer (May-Sep)","mean",11.03,4.21,17.47,1.35,933.02,71.1,4.99,0.54,13.92,6.57,178.42,NA,NA,NA,NA,NA,NA
"Crooked Lake","Summer (May-Sep)","max",20.3,14.46,30.34,27,945.95,99.08,14.11,2.33,89.2,14.09,347.44,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crooked Lake","Summer (May-Sep)","min",1.29,-4.52,6.46,0,915.65,37.07,-5.92,0,272.14,2.52,27.9,Inf,Inf,Inf,Inf,Inf,Inf
"Crooked Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,311,311,311,311,311,311
"Crooked Lake","Winter (Oct-Apr)","mean",-5.99,-11.9,-0.07,0.26,931.33,77.68,-9.49,0.39,7.22,-Inf,76.78,NA,NA,NA,NA,NA,NA
"Crooked Lake","Winter (Oct-Apr)","max",9.44,5.41,16.93,8,965.29,99.75,40.89,2.43,89.19,16.61,278.64,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Crooked Lake","Winter (Oct-Apr)","min",-42.75,-46.41,-37.39,0,904.86,44.08,-41.83,0,270.03,-Inf,1.85,Inf,Inf,Inf,Inf,Inf,Inf
"Crooked Lake","Winter (Oct-Apr)","obs_na",0,0,0,19,30,0,0,19,19,0,19,340,340,340,340,340,340
"Crystal Lake","Summer (May-Sep)","mean",12.59,Inf,-Inf,1.89,927.01,71.61,6.65,0.91,8.46,-Inf,209.14,0.11,NA,NA,14.75,31.91,NA
"Crystal Lake","Summer (May-Sep)","max",27.69,Inf,38.31,53.4,945.14,97.68,16.75,4.22,89.38,18.74,423.19,0.17,-Inf,-Inf,22.18,100,-Inf
"Crystal Lake","Summer (May-Sep)","min",0.42,-9,-Inf,0,902.65,30.79,-9.95,0.01,270.02,-Inf,25.46,0.04,Inf,Inf,5.83,0,Inf
"Crystal Lake","Summer (May-Sep)","obs_na",54,0,0,85,54,54,54,68,627,0,173,1239,2448,2448,2276,85,2448
"Crystal Lake","Winter (Oct-Apr)","mean",-3.3,Inf,-Inf,1.47,925.51,82.69,-6.14,0.76,355.07,-Inf,70.39,0.11,NA,NA,2.21,31.23,NA
"Crystal Lake","Winter (Oct-Apr)","max",16.11,Inf,24.63,41.8,955.4,98.04,9.92,4.2,89.98,26.72,315.68,0.2,-Inf,-Inf,10.59,100,-Inf
"Crystal Lake","Winter (Oct-Apr)","min",-37.79,-44.87,-Inf,0,897.7,32.25,-41.27,0,270.13,-Inf,0.6,0,Inf,Inf,0.22,0,Inf
"Crystal Lake","Winter (Oct-Apr)","obs_na",217,0,0,217,217,217,217,237,885,0,279,1580,3212,3212,2973,217,3212
"Dennis","Summer (May-Sep)","mean",11.43,Inf,-Inf,1.3,911.36,73.1,5.95,0.37,22.68,5.74,195.78,0.26,0.29,0.31,10.1,NA,NA
"Dennis","Summer (May-Sep)","max",20.7,Inf,31.41,45.2,926.34,97.73,12.72,1.84,89.55,11.07,375.92,0.56,0.57,0.52,14.97,-Inf,-Inf
"Dennis","Summer (May-Sep)","min",-0.06,-3.84,-Inf,0,884.4,44.25,-3.7,0,270.08,1.51,16.29,0.07,0.07,0.16,0.84,Inf,Inf
"Dennis","Summer (May-Sep)","obs_na",94,0,0,0,0,94,94,0,0,0,0,0,175,73,0,689,689
"Dennis","Winter (Oct-Apr)","mean",-3.2,Inf,-Inf,1.23,906.82,85.89,-5.49,0.2,357.13,4.54,67.7,0.31,0.35,0.38,2.05,NA,NA
"Dennis","Winter (Oct-Apr)","max",10.46,Inf,20.6,32.2,936.81,99.95,8.41,1.93,89.67,14.09,291.14,0.54,0.59,0.52,9.55,-Inf,-Inf
"Dennis","Winter (Oct-Apr)","min",-30.05,-35.44,-Inf,0,872.45,46.6,-32.48,0,270.32,0,1.49,0.16,0.22,0.22,0.02,Inf,Inf
"Dennis","Winter (Oct-Apr)","obs_na",212,0,0,0,0,212,212,0,0,0,0,0,337,212,0,849,849
"Dunster","Summer (May-Sep)","mean",13.14,7.65,19.4,1.71,912.53,73.13,7.78,0.45,4.84,5.43,193.11,0.12,NA,NA,13.7,NA,0
"Dunster","Summer (May-Sep)","max",27.01,18.75,37.21,37.41,928.8,96.98,16.63,5.72,89.96,14.1,405.03,0.27,-Inf,-Inf,17.78,-Inf,0
"Dunster","Summer (May-Sep)","min",-0.21,-3.57,4.04,0,890.5,33.33,-7.66,0,270.14,1.01,22.38,0,Inf,Inf,6.83,Inf,0
"Dunster","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,430,1810,1810,1680,1810,1426
"Dunster","Winter (Oct-Apr)","mean",-1.62,-4.74,1.61,1.11,911.18,82.63,-4.45,0.62,340.04,5.69,61,0.15,NA,NA,1.1,NA,14.13
"Dunster","Winter (Oct-Apr)","max",15.28,11.2,25.89,32.6,937.07,97.61,10.47,3.13,89.96,15.21,323.65,0.41,-Inf,-Inf,8.49,-Inf,44.08
"Dunster","Winter (Oct-Apr)","min",-30.94,-32.6,-29.32,0,883,37.78,-33.37,0,270.01,0,1.6,0,Inf,Inf,-0.25,Inf,0
"Dunster","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,642,2327,2327,2135,2327,1910
"Endako","Summer (May-Sep)","mean",11.3,Inf,-Inf,1.38,917.29,70.88,5.42,0.78,358.6,-Inf,217.72,0.09,NA,NA,NA,31.33,NA
"Endako","Summer (May-Sep)","max",25.4,Inf,36.77,40.2,935.75,96.56,16.15,3.51,89.8,16.14,419.68,0.51,-Inf,-Inf,-Inf,100,-Inf
"Endako","Summer (May-Sep)","min",-0.6,-8.16,-Inf,0,889.48,36.08,-7.49,0,270.15,-Inf,13.84,0,Inf,Inf,Inf,0,Inf
"Endako","Summer (May-Sep)","obs_na",9,0,0,26,36,9,9,5,5,0,0,1419,2713,2713,2713,0,2713
